,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_net_arch,params_noptepochs,state
39,39,9.486677940949942,2021-04-12 11:52:46.570024,2021-04-12 12:03:07.209910,0 days 00:10:20.639886,64,0.1,0.007571273372167455,0.99,0.92,0.0014843599348330898,64,4x4,5,COMPLETE
40,40,2.769112668576941,2021-04-12 12:03:07.241597,2021-04-12 12:13:35.068496,0 days 00:10:27.826899,64,0.1,0.06791639892246593,0.99,0.92,0.044866136868006126,64,4x4,30,COMPLETE
41,41,10.387416179735956,2021-04-12 12:13:35.103558,2021-04-12 12:24:03.160174,0 days 00:10:28.056616,64,0.1,0.07790704914695532,0.99,0.92,0.05494555389643031,64,4x4,30,COMPLETE
42,42,7.04780861664114,2021-04-12 12:24:03.192100,2021-04-12 12:34:31.217834,0 days 00:10:28.025734,64,0.1,0.002121649277665037,0.99,0.92,0.013125395344934836,64,4x4,30,COMPLETE
43,43,9.550071583657992,2021-04-12 12:34:31.252754,2021-04-12 12:45:14.028137,0 days 00:10:42.775383,64,0.1,0.02171383985879765,0.99,0.92,0.04598104719805599,64,4x4,30,COMPLETE
44,44,7.553595657310413,2021-04-12 12:45:14.065010,2021-04-12 12:55:43.826324,0 days 00:10:29.761314,64,0.1,0.000844384645683564,0.99,0.92,0.13804365920032935,64,4x4,30,COMPLETE
45,45,10.665977319245236,2021-04-12 12:55:43.861528,2021-04-12 13:06:13.590896,0 days 00:10:29.729368,64,0.1,0.012051493476778023,0.99,0.98,1.0320030286149234e-05,64,4x4,30,COMPLETE
46,46,,2021-04-12 13:06:13.626423,,,64,0.1,0.00010890238436609342,0.98,0.92,0.7061634796022173,2048,4x4,10,RUNNING
47,47,9.789872202286967,2021-04-12 13:35:25.486939,2021-04-12 13:44:05.348258,0 days 00:08:39.861319,64,0.1,0.0030570881853028233,0.99,0.92,0.8548533714776603,2048,4x4,10,COMPLETE
48,48,10.34516252792297,2021-04-12 13:44:05.394070,2021-04-12 13:54:42.369582,0 days 00:10:36.975512,64,0.1,0.00014669913377338996,0.98,1.0,0.3112548707992281,64,4x4,50,COMPLETE
49,49,9.902643188462594,2021-04-12 13:54:42.404450,2021-04-12 14:05:04.736631,0 days 00:10:22.332181,64,0.1,0.06864630009077537,0.99,0.92,0.01219307304342023,512,4x4,1,COMPLETE
50,50,11.519705609411558,2021-04-12 14:05:04.769005,2021-04-12 14:15:27.229245,0 days 00:10:22.460240,256,0.2,5.0513370973006826e-05,0.995,0.92,0.003095855155036353,1024,4x4,20,COMPLETE
51,51,8.83116587020103,2021-04-12 14:15:27.262261,2021-04-12 14:26:33.434314,0 days 00:11:06.172053,64,0.1,0.0004537504217199789,0.99,0.98,0.07514289553902806,16,16x16,30,COMPLETE
52,52,10.87030646877427,2021-04-12 14:26:33.466145,2021-04-12 14:37:13.869359,0 days 00:10:40.403214,256,0.4,5.549879048321227e-06,0.999,0.8,0.0010705208957256039,64,8x8,50,COMPLETE
53,53,8.236279377925566,2021-04-12 14:37:13.915582,2021-04-12 14:48:10.759614,0 days 00:10:56.844032,64,0.3,8.88479736914671e-07,0.9999,0.92,0.021164830478069233,32,4x4,50,COMPLETE
54,54,8.814564462349907,2021-04-12 14:48:10.796130,2021-04-12 14:58:47.751784,0 days 00:10:36.955654,256,0.3,2.1403900133502516e-05,0.9999,0.95,0.017298934352096156,64,4x4,50,COMPLETE
55,55,8.97726106157396,2021-04-12 14:58:47.784475,2021-04-12 15:09:44.573371,0 days 00:10:56.788896,32,0.1,6.749331983086993e-08,0.95,1.0,0.13121479839681882,32,32x32,50,COMPLETE
56,56,,2021-04-12 15:09:44.606128,,,64,0.1,8.324119972497731e-06,0.9999,0.9,0.03332311565460702,256,16x16,50,RUNNING
57,57,10.43544789713213,2021-04-12 15:51:58.610946,2021-04-12 16:02:37.123185,0 days 00:10:38.512239,64,0.1,6.437618126872087e-06,0.9999,0.9,0.006834692439232473,256,16x16,50,COMPLETE
58,58,10.262591979298474,2021-04-12 16:02:37.181745,2021-04-12 16:11:17.085752,0 days 00:08:39.904007,256,0.1,2.9117101928877106e-08,0.98,0.99,0.033366460998218675,2048,4x4,50,COMPLETE
59,59,7.580211818689833,2021-04-12 16:11:17.119123,2021-04-12 16:22:00.484685,0 days 00:10:43.365562,64,0.3,8.350005367528013e-07,0.9999,0.92,0.003569059282392478,32,32x32,30,COMPLETE
60,60,10.645501710906665,2021-04-12 16:22:00.519495,2021-04-12 16:32:21.005222,0 days 00:10:20.485727,256,0.1,1.1640291255108683e-05,0.99,0.9,0.017128059602546538,1024,8x8,1,COMPLETE
61,61,7.262348620965447,2021-04-12 16:32:21.036786,2021-04-12 16:43:53.535793,0 days 00:11:32.499007,32,0.2,1.108269590220136e-07,0.995,0.8,0.010618133357815284,16,32x32,50,COMPLETE
62,62,7.747948906115627,2021-04-12 16:43:53.581417,2021-04-12 16:54:53.798678,0 days 00:11:00.217261,128,0.1,2.4884190883568237e-07,0.9999,0.9,0.007650865718142443,32,32x32,50,COMPLETE
63,63,8.685014462248352,2021-04-12 16:54:53.831617,2021-04-12 17:05:16.914403,0 days 00:10:23.082786,256,0.4,0.034694947393104275,0.9,0.92,0.09789963397585966,64,4x4,5,COMPLETE
64,64,4.2972877247657575,2021-04-12 17:05:16.947039,2021-04-12 17:15:44.838303,0 days 00:10:27.891264,128,0.1,6.279869676062515e-07,0.9,0.9,0.007749625576159476,128,32x32,30,COMPLETE
